Type,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
ALL OCCUPATIONS,109080,809,60746,895,48334,726
MANAGEMENT,12480,1351,7332,1486,5147,1139
BUSINESS,5942,1137,2686,1327,3256,1004
COMPUTATIONAL,4009,1428,3036,1503,973,1245
ENGINEERING,2656,1424,2272,1452,383,1257
SCIENCE,1176,1206,662,1379,514,1067
SOCIAL SERVICE,2143,889,776,973,1367,845
LEGAL,1346,1391,624,1877,722,1135
EDUCATION,6884,956,1849,1144,5034,907
ARTS,1643,1001,930,1088,713,942
HEALTHCARE,8961,1539,1959,1849,7002,1481
PROTECTIVE SERVICE,2729,796,2181,851,547,655
CULINARY,4124,441,2133,481,1991,414
GROUNDSKEEPING,3605,486,2330,517,1275,419
SERVICE,2427,498,664,597,1763,475
SALES,9725,716,5423,880,4303,578
OFFICE,13894,656,3961,693,9933,646
AGRICULTURAL,810,464,637,477,174,437
PRODUCTION,7551,663,5548,729,2003,519
TRANSPORTATION,6953,646,5998,679,955,494